N,Peak emission rate R_peak,Peak time Gamma_c t_peak,R_peak / N,R_peak / N^2
2,2.0,0.0,1.0,0.5
4,4.857408471359199,0.21340446815605202,1.2143521178397998,0.30358802945994995
6,9.28516843949346,0.2367455818606202,1.54752807324891,0.25792134554148505
8,15.251810347336713,0.2280760253417806,1.9064762934170891,0.23830953667713614
10,22.759116397112425,0.21273757919306435,2.2759116397112424,0.22759116397112425
12,31.81052183674937,0.1973991330443481,2.650876819729114,0.22090640164409284
16,54.55724426645262,0.17139046348782927,3.409827766653289,0.21311423541583055
20,83.50944112609947,0.1513837945981994,4.175472056304974,0.20877360281524868
30,183.10231765788728,0.1173724574858286,6.103410588596243,0.20344701961987477
40,321.63991358218846,0.0960320106702234,8.040997839554711,0.20102494598886778
60,715.7141628228326,0.07202400800266755,11.928569380380543,0.19880948967300904
80,1265.928870772776,0.05801933977992664,15.8241108846597,0.19780138605824626
100,1972.5516145726297,0.04868289429809936,19.725516145726296,0.19725516145726296
