N,gamma0/gammac,runtime seconds,initial population,final population
10,0.0,0.046484947204589844,10.0,3.346407595472556e-10
10,0.05,0.04021000862121582,10.0,0.08419947083755641
10,0.1,0.03613138198852539,10.0,0.1469747480161967
10,0.5,0.02807164192199707,10.0,0.23988378048772763
10,1.0,0.06100177764892578,10.0,0.10802719594217614
10,2.0,0.04845476150512695,10.0,0.009561050044530006
12,0.0,0.06019139289855957,12.0,2.305267088331675e-11
12,0.05,0.048519134521484375,12.0,0.0917039814664884
12,0.1,0.07682061195373535,12.0,0.15992162777788632
12,0.5,0.06497883796691895,12.0,0.2625890118272469
12,1.0,0.06852459907531738,12.0,0.121212136991943
12,2.0,0.0627741813659668,12.0,0.011133989403147915
16,0.0,0.14101171493530273,16.0,1.1466383398328617e-12
16,0.05,0.14445114135742188,16.0,0.10360860426503216
16,0.1,0.14064860343933105,16.0,0.1803642738184017
16,0.5,0.13630056381225586,16.0,0.29562374404102343
16,1.0,0.14820241928100586,16.0,0.14051235743565194
16,2.0,0.14135241508483887,16.0,0.01373754776439462
